label,question
3,желать точно медикамент
3,хотеть присматривать продукт
1,че использовать период сайт
2,желать информация номер справочный служба
4,хотеть заполнять заявка должность
4,хотеть правильно написать заявка работа
1,поделиться што обозначать цифра период
2,мочь узнавать информация оператор справка
2,мочь дозваниваться телефон справка
3,помогать точно продукт
4,мочь направлять заявка работа
3,посоветовать правильно разбирать продукт
3,посоветовать находить медикамент
3,посоветовать точно выбирать продукт
1,приносить период сайт
1,использовать период сайт
1,польза давать период сайт
2,находить номер справочный служба
4,правильно подавать заявка пост
1,рассказывать значить период карта
1,служить период
4,помогать быстро придумывать анкета сотрудник
4,помогать подавать заявка пост
4,правильно набирать заявка работа
3,помогать находить медикамент
3,хотеть точно выбирать товар
2,связываться справка
3,хотеть подыскивать продукт
1,што значить период карта
4,позволять точно набросать анкета
4,позволять точно придумывать резюме
4,позволять точно набросать резюме
3,находить средство
4,мочь точно набирать резюме
4,помогать подавать заявка работа
3,точно выбирать средство
3,хотеть подыскивать товар
1,поделиться дарить период
4,мочь правильно составлять анкета
2,находить информация справочный служба
3,хотеть отыскивать средство
3,желать правильно подыскивать лекарство
4,желать правильно оформлять анкета сотрудник
4,мочь набирать заявка пост
4,желать правильно составлять заявка должность
3,помогать правильно разбирать товар
1,поделиться служить период
1,просвещать давать данный период
4,хотеть точно составлять анкета сотрудник
2,прояснять насчет данные телефон справочный информация
4,помогать быстро заполнять анкета
1,объяснять данные период
2,объяснять взять давать телефон оператор справка
1,прояснять период
3,желать точно отыскивать товар
3,желать присматривать товар
2,желать информация справочный служба
4,правильно набросать заявка работа
2,мочь узнавать связываться оператор справка
1,просвещать че давать период
1,обозначать цифра период
3,желать правильно присматривать средство
4,помогать правильно составлять заявка работа
4,хотеть быстро подавать заявка должность
1,прояснять понимать данные период
1,просвещать понимать данные период
2,давать информация номер справка
3,подбирать лекарство
1,польза обозначать период сайт
2,мочь узнавать связываться справка
2,давать номер справочный консультация
2,взять номерок справка
4,помогать быстро придумывать резюме
2,информация номер справка
3,помогать подбирать медикамент
1,поделиться че дарить данные период
4,хотеть быстро набирать заявка пост
4,позволять правильно заполнять заявка пост
3,отыскивать товар
3,посоветовать точно подбирать продукт
4,позволять точно составлять анкета сотрудник
3,желать находить медикамент
4,помогать составлять заявка работа
1,рассказывать свидетельствовать цифра период
4,мочь правильно направлять заявка пост
3,хотеть правильно подыскивать товар
4,позволять набирать заявка работа
2,желать связываться оператор справочный служба
2,помогать находить информация номер справка
1,непонятно че служить период
4,позволять точно написать анкета сотрудник
4,желать точно набирать заявка пост
2,насчет номер справка
4,желать правильно оформлять анкета
4,позволять оформлять анкета сотрудник
3,желать точно подбирать товар
1,давать период сайт
4,хотеть точно оформлять резюме
4,позволять оформлять заявка пост
1,непонятно служить цифра период
3,посоветовать правильно разбирать товар
4,позволять точно заполнять анкета сотрудник
4,быстро придумывать заявка пост
1,рассказывать дарить данные период
1,поделиться служить период
1,непонятно давать период
1,поделиться дарить цифра период
4,хотеть написать заявка работа
2,хотеть информация справка
1,прояснять понимать дарить период
3,хотеть точно подбирать средство
4,помогать точно направлять заявка должность
2,хотеть информация номер диспетчер справка
3,подыскивать продукт
4,помогать придумывать заявка работа
1,непонятно понимать свидетельствовать данные период
1,непонятно служить период
4,позволять правильно оформлять анкета сотрудник
4,хотеть оформлять анкета сотрудник
4,желать оформлять заявка должность
2,знать номерок справочный служба
2,написать данный номер справочный служба
4,позволять составлять анкета сотрудник
4,мочь точно набирать заявка работа
1,объяснять приносить период сайт
1,поделиться понимать цифра период
2,взять номер телефон справочный консультация
4,позволять быстро оформлять резюме
2,мочь находить номер оператор справочный служба
2,помогать находить связываться справочный служба
4,мочь быстро оставлять заявка работа
2,взять давать номер справочный служба
3,хотеть находить товар
4,хотеть придумывать заявка пост
2,трудность номер справочный служба
4,мочь правильно придумывать заявка должность
3,посоветовать правильно присматривать товар
1,просвещать што обозначать период
1,объяснять понимать дарить цифра период
4,помогать написать заявка должность
3,желать точно продукт
2,номер справка
2,давать номер телефон справочный консультация
1,поделиться што служить цифра период
3,помогать точно находить средство
4,правильно оформлять заявка пост
1,давать период карта
3,желать точно подбирать медикамент
4,позволять быстро написать анкета сотрудник
1,объяснять служить цифра период
4,мочь быстро набирать анкета
2,данный номер оператор справочный служба
1,просвещать дарить период
3,посоветовать точно выбирать средство
4,желать быстро придумывать анкета сотрудник
4,мочь точно набросать заявка должность
4,мочь написать заявка должность
1,использовать период карта
1,прояснять обозначать цифра период
4,мочь набросать резюме
2,неясность телефон справка
2,находить телефон оператор справочный консультация
4,желать быстро направлять резюме
2,данные телефон оператор справка
3,хотеть разбирать лекарство
3,желать отыскивать средство
4,мочь направлять анкета
2,данный номер оператор справочный служба
1,што обозначать период сайт
4,хотеть правильно составлять заявка пост
1,объяснять служить период
1,поделиться понимать давать данный период
2,желать номерок справка
2,мочь дозваниваться информация оператор справка
4,хотеть направлять анкета сотрудник
2,хотеть информация справочный служба
1,просвещать че обозначать данный период
3,желать находить продукт
3,посоветовать точно разбирать продукт
1,просвещать понимать период
4,хотеть точно заполнять заявка работа
3,посоветовать точно подыскивать медикамент
2,подсказывать информация справочный служба
3,помогать присматривать средство
3,посоветовать точно средство
1,што приносить период сайт
4,желать подавать заявка пост
2,связываться диспетчер справочный служба
1,польза приносить период сайт
2,взять номер справка
2,хотеть номер оператор справочный консультация
3,посоветовать подбирать медикамент
1,рассказывать што цифра период
2,хотеть данные номер оператор справка
1,непонятно свидетельствовать период
3,желать подбирать продукт
1,рассказывать приносить период карта
4,мочь точно написать резюме
2,подсказывать информация номер справочный служба
3,точно отыскивать медикамент
4,правильно составлять анкета
1,че использовать период сайт
1,польза давать период карта
3,помогать правильно подыскивать медикамент
2,взять телефон справочный консультация
3,хотеть правильно подыскивать средство
4,желать быстро направлять заявка пост
4,помогать правильно заполнять резюме
4,позволять набирать резюме
2,мочь находить данный номер диспетчер справка
2,мочь узнавать данный номер справка
3,желать лекарство
3,правильно подыскивать средство
3,посоветовать подыскивать медикамент
2,мочь дозваниваться данные телефон справка
2,номер справочный служба
4,хотеть подавать анкета сотрудник
4,помогать написать анкета
1,объяснять служить данные период
4,желать правильно направлять резюме
3,хотеть правильно подбирать лекарство
3,посоветовать лекарство
3,правильно присматривать медикамент
4,хотеть написать анкета
3,желать точно находить товар
1,просвещать што дарить данные период
2,информация диспетчер справочный служба
2,проблема телефон оператор справка
3,желать находить средство
1,рассказывать што давать данный период
2,хотеть номерок оператор справочный служба
3,находить лекарство
2,хотеть получать номер телефон справочный консультация
3,посоветовать точно отыскивать медикамент
2,написать данный номер справка
3,хотеть правильно подыскивать лекарство
1,объяснять данные период
1,объяснять обозначать цифра период
1,объяснять давать цифра период
4,желать точно оформлять заявка пост
2,давать телефон справочный консультация
2,желать номер диспетчер справочный служба
3,желать правильно подыскивать товар
2,хотеть получать номер оператор справочный консультация
1,прояснять дарить период
4,мочь правильно написать анкета
2,мочь находить информация диспетчер справка
2,мочь находить информация номер оператор справочный служба
4,точно оформлять анкета
4,желать правильно оформлять резюме
4,заполнять заявка пост
4,позволять набросать анкета
3,находить товар
4,правильно заполнять заявка работа
3,помогать правильно подбирать медикамент
1,поделиться понимать свидетельствовать период
1,польза приносить период сайт
4,помогать быстро направлять анкета
1,непонятно че период
2,написать информация номер справка
4,помогать подавать анкета
3,желать точно находить товар
3,правильно присматривать товар
3,хотеть правильно средство
4,желать написать заявка работа
4,позволять придумывать резюме
1,поделиться че давать период
2,находить номерок справка
2,давать телефон оператор справочный консультация
3,хотеть подыскивать средство
1,рассказывать понимать давать период
2,рассказывать номер оператор справочный консультация
4,хотеть подавать анкета
4,хотеть заполнять заявка работа
2,прояснять насчет телефон справочный информация
2,проблема номер справочный служба
1,рассказывать служить данные период
3,желать отыскивать медикамент
2,давать телефон справочный консультация
4,позволять правильно подавать анкета
4,точно написать резюме
1,што обозначать период сайт
3,хотеть присматривать средство
1,непонятно понимать обозначать период
3,желать точно подбирать лекарство
1,што давать период сайт
3,посоветовать подыскивать медикамент
4,позволять быстро направлять анкета
3,подыскивать средство
3,присматривать медикамент
2,находить телефон оператор справочный служба
3,подыскивать продукт
3,желать медикамент
1,просвещать че служить период
4,точно направлять заявка пост
2,откуда данный номер справочный служба
1,поделиться обозначать данный период
1,давать период карта
4,позволять правильно направлять заявка пост
2,мочь находить номер диспетчер справочный служба
1,значить период карта
2,давать информация номер справка
2,мочь находить номерок оператор справочный служба
3,помогать отыскивать медикамент
4,желать правильно написать анкета
4,желать составлять заявка работа
3,посоветовать подбирать медикамент
3,желать выбирать товар
1,смысл значить период карта
3,посоветовать выбирать лекарство
3,желать выбирать лекарство
4,хотеть точно подавать заявка пост
3,правильно продукт
3,хотеть правильно выбирать медикамент
3,выбирать средство
1,рассказывать понимать служить период
2,подсказывать номер оператор справочный консультация
4,мочь быстро подавать заявка пост
2,информация номер диспетчер справка
1,просвещать понимать обозначать цифра период
2,прояснять насчет телефон оператор справка
4,желать правильно направлять анкета
4,позволять правильно оставлять заявка пост
4,хотеть оставлять анкета
1,че приносить период карта
4,позволять быстро заполнять заявка работа
1,рассказывать приносить период сайт
1,польза приносить период карта
1,непонятно служить период
2,мочь узнавать информация справка
1,што давать данный период
1,рассказывать свидетельствовать цифра период
2,мочь узнавать связываться справочный служба
1,просвещать период
4,хотеть подавать анкета сотрудник
2,взять информация справочный служба
4,позволять составлять заявка должность
4,помогать правильно составлять заявка пост
3,помогать подыскивать медикамент
4,помогать правильно оформлять анкета
1,поделиться данные период
2,вывести телефон оператор справочный служба
4,желать направлять заявка работа
1,че обозначать данный период
2,информация номер справочный служба
3,помогать разбирать лекарство
1,приносить период сайт
2,насчет телефон справка
3,посоветовать подбирать товар
2,насчет номер справочный служба
4,хотеть точно составлять анкета
3,хотеть присматривать лекарство
3,средство
4,мочь быстро оформлять анкета
2,хотеть информация оператор справочный служба
3,хотеть подбирать медикамент
1,значить период сайт
3,правильно отыскивать продукт
3,желать точно подыскивать медикамент
4,мочь подавать резюме
3,помогать подбирать товар
3,желать выбирать медикамент
1,непонятно свидетельствовать период
1,рассказывать обозначать данный период
4,хотеть придумывать заявка должность
4,желать правильно составлять заявка работа
4,хотеть подавать заявка работа
3,посоветовать отыскивать товар
2,информация справка
2,подсказывать номер телефон справочный консультация
4,хотеть придумывать анкета
2,номерок оператор справочный служба
